id;external_id;product_code;name;description;category_id;unit_price;weight;volume;is_fragile;stock_quantity;product_status;warehouse_id;created_at;updated_at;created_by;notes
16;251;PROD_251;"Brooks Women's Ghost 6 Running Shoe";"Brooks Women's Ghost 6 Running Shoe";163;90.00;0.700;0.004;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
17;403;PROD_403;"Nike Men's CJ Elite 2 TD Football Cleat";"Nike Men's CJ Elite 2 TD Football Cleat";170;130.00;0.900;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
18;957;PROD_957;"Diamondback Women's Serene Classic Comfort Bi";"Diamondback Women's Serene Classic Comfort Bi";171;300.00;12.000;0.250;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
19;1352;PROD_1352;"Industrial consumer electronics";"Industrial consumer electronics";172;253.00;1.200;0.010;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
20;1349;PROD_1349;"Web Camera";"Web Camera";173;452.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
21;1351;PROD_1351;"Dell Laptop";"Dell Laptop";174;1500.00;2.000;0.015;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
22;60;PROD_60;"SOLE E25 Elliptical";"SOLE E25 Elliptical";175;1000.00;80.000;0.500;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
23;24;PROD_24;"Elevation Training Mask 2.0";"Elevation Training Mask 2.0";176;80.00;0.200;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
24;567;PROD_567;"adidas Men's Germany Black Crest Away Tee";"adidas Men's Germany Black Crest Away Tee";177;25.00;0.250;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
25;893;PROD_893;"Team Golf Pittsburgh Steelers Putter Grip";"Team Golf Pittsburgh Steelers Putter Grip";178;25.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
26;924;PROD_924;"Glove It Urban Brick Golf Towel";"Glove It Urban Brick Golf Towel";165;16.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
27;905;PROD_905;"Team Golf Texas Longhorns Putter Grip";"Team Golf Texas Longhorns Putter Grip";178;25.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
28;564;PROD_564;"Nike Men's Deutschland Weltmeister Winners Bl";"Nike Men's Deutschland Weltmeister Winners Bl";177;30.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
29;885;PROD_885;"Team Golf St. Louis Cardinals Putter Grip";"Team Golf St. Louis Cardinals Putter Grip";178;25.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
30;1363;PROD_1363;"Summer dresses";"Summer dresses";179;216.00;0.250;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
31;1353;PROD_1353;"Porcelain crafts";"Porcelain crafts";180;461.00;1.000;0.010;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
32;1357;PROD_1357;"Men's gala suit";"Men's gala suit";181;211.00;1.200;0.015;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
33;906;PROD_906;"Team Golf Tennessee Volunteers Putter Grip";"Team Golf Tennessee Volunteers Putter Grip";178;25.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
34;886;PROD_886;"Team Golf San Francisco Giants Putter Grip";"Team Golf San Francisco Giants Putter Grip";178;25.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
35;926;PROD_926;"Glove It Imperial Golf Towel";"Glove It Imperial Golf Towel";165;16.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
36;116;PROD_116;"Nike Men's Comfort 2 Slide";"Nike Men's Comfort 2 Slide";182;45.00;0.400;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
37;235;PROD_235;"Under Armour Hustle Storm Medium Duffle Bag";"Under Armour Hustle Storm Medium Duffle Bag";183;35.00;0.600;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
38;273;PROD_273;"Under Armour Kids' Mercenary Slide";"Under Armour Kids' Mercenary Slide";162;28.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
39;282;PROD_282;"Under Armour Women's Ignite PIP VI Slide";"Under Armour Women's Ignite PIP VI Slide";162;32.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
40;359;PROD_359;"Nike Men's Free TR 5.0 TB Training Shoe";"Nike Men's Free TR 5.0 TB Training Shoe";184;100.00;0.900;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
41;565;PROD_565;"adidas Youth Germany Black/Red Away Match Soc";"adidas Youth Germany Black/Red Away Match Soc";177;70.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
42;572;PROD_572;"TYR Boys' Team Digi Jammer";"TYR Boys' Team Digi Jammer";177;40.00;0.250;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
43;804;PROD_804;"Glove It Women's Imperial Golf Glove";"Glove It Women's Imperial Golf Glove";185;20.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
44;822;PROD_822;"Titleist Pro V1x High Numbers Golf Balls";"Titleist Pro V1x High Numbers Golf Balls";166;48.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
45;835;PROD_835;"Bridgestone e6 Straight Distance NFL Carolina";"Bridgestone e6 Straight Distance NFL Carolina";166;32.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
46;276;PROD_276;"Under Armour Women's Ignite Slide";"Under Armour Women's Ignite Slide";162;32.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
47;823;PROD_823;"Titleist Pro V1x High Numbers Personalized Go";"Titleist Pro V1x High Numbers Personalized Go";166;52.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
48;203;PROD_203;"GoPro HERO3+ Black Edition Camera";"GoPro HERO3+ Black Edition Camera";186;400.00;0.200;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
49;364;PROD_364;"Total Gym 1400";"Total Gym 1400";159;300.00;25.000;0.200;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
50;1350;PROD_1350;"Children's heaters";"Children's heaters";187;357.00;3.000;0.030;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
51;897;PROD_897;"Team Golf New England Patriots Putter Grip";"Team Golf New England Patriots Putter Grip";178;25.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
52;37;PROD_37;"adidas Kids' F5 Messi FG Soccer Cleat";"adidas Kids' F5 Messi FG Soccer Cleat";169;35.00;0.500;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
53;172;PROD_172;"Nike Women's Tempo Shorts";"Nike Women's Tempo Shorts";164;30.00;0.200;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
54;810;PROD_810;"Glove It Women's Mod Oval Golf Glove";"Glove It Women's Mod Oval Golf Glove";185;20.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
55;821;PROD_821;"Titleist Pro V1 High Numbers Personalized Gol";"Titleist Pro V1 High Numbers Personalized Gol";166;52.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
56;93;PROD_93;"Under Armour Men's Tech II T-Shirt";"Under Armour Men's Tech II T-Shirt";188;25.00;0.250;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
57;1347;PROD_1347;"Baby sweater";"Baby sweater";189;59.00;0.250;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
58;305;PROD_305;"Mio ALPHA Heart Rate Monitor/Sport Watch";"Mio ALPHA Heart Rate Monitor/Sport Watch";167;199.00;0.080;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
59;1004;PROD_1004;"Field & Stream Sportsman 16 Gun Fire Safe";"Field & Stream Sportsman 16 Gun Fire Safe";190;400.00;150.000;1.200;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
60;1346;PROD_1346;"Sports Books";"Sports Books";191;31.00;0.500;0.004;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
61;58;PROD_58;"Diamondback Boys' Insight 24 Performance Hybr";"Diamondback Boys' Insight 24 Performance Hybr";175;300.00;12.000;0.250;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
62;311;PROD_311;"Polar Loop Activity Tracker";"Polar Loop Activity Tracker";167;110.00;0.060;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
63;303;PROD_303;"Garmin Forerunner 910XT GPS Watch";"Garmin Forerunner 910XT GPS Watch";167;400.00;0.080;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
64;1354;PROD_1354;DVDs;DVDs;192;164.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
65;1348;PROD_1348;"CDs of rock";"CDs of rock";193;11.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
66;78;PROD_78;"Nike Kids' Grade School KD VI Basketball Shoe";"Nike Kids' Grade School KD VI Basketball Shoe";188;100.00;0.700;0.004;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
67;258;PROD_258;"Nike Women's Free 5.0 TR FIT PRT 4 Training S";"Nike Women's Free 5.0 TR FIT PRT 4 Training S";163;95.00;0.600;0.004;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
68;797;PROD_797;"Hirzl Women's Soffft Flex Golf Glove";"Hirzl Women's Soffft Flex Golf Glove";185;18.00;0.150;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
69;981;PROD_981;"The North Face Women's Recon Backpack";"The North Face Women's Recon Backpack";168;99.00;0.900;0.010;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:21";NULL;NULL
70;1355;PROD_1355;"Lawn mower";"Lawn mower";194;533.00;20.000;0.250;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
71;135;PROD_135;"Nike Dri-FIT Crew Sock 6 Pack";"Nike Dri-FIT Crew Sock 6 Pack";195;22.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
72;134;PROD_134;"Nike Women's Legend V-Neck T-Shirt";"Nike Women's Legend V-Neck T-Shirt";195;25.00;0.200;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
73;845;PROD_845;"Garmin Approach S4 Golf GPS Watch";"Garmin Approach S4 Golf GPS Watch";167;300.00;0.060;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
74;982;PROD_982;"insta-bed Neverflat Air Mattress";"insta-bed Neverflat Air Mattress";168;150.00;8.000;0.400;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
75;625;PROD_625;"Nike Men's Kobe IX Elite Low Basketball Shoe";"Nike Men's Kobe IX Elite Low Basketball Shoe";160;200.00;0.900;0.006;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
76;1359;PROD_1359;"Adult dog supplies";"Adult dog supplies";196;84.00;2.000;0.020;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
77;1356;PROD_1356;"First aid kit";"First aid kit";197;293.00;0.500;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
78;607;PROD_607;"Garmin Approach S3 Golf GPS Watch";"Garmin Approach S3 Golf GPS Watch";165;250.00;0.060;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
79;1358;PROD_1358;"Rock music";"Rock music";198;261.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
80;1362;PROD_1362;"Fighting video games";"Fighting video games";199;40.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
81;295;PROD_295;"Fitbit The One Wireless Activity & Sleep Trac";"Fitbit The One Wireless Activity & Sleep Trac";167;100.00;0.030;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
82;127;PROD_127;"Stiga Master Series ST3100 Competition Indoor";"Stiga Master Series ST3100 Competition Indoor";195;330.00;60.000;0.300;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
83;61;PROD_61;"Diamondback Girls' Clarity 24 Hybrid Bike 201";"Diamondback Girls' Clarity 24 Hybrid Bike 201";175;300.00;12.000;0.250;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
84;35;PROD_35;"adidas Brazuca 2014 Official Match Ball";"adidas Brazuca 2014 Official Match Ball";169;160.00;0.450;0.004;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
85;858;PROD_858;"GolfBuddy VT3 GPS Watch";"GolfBuddy VT3 GPS Watch";167;200.00;0.070;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
86;860;PROD_860;"Bushnell Pro X7 Jolt Slope Rangefinder";"Bushnell Pro X7 Jolt Slope Rangefinder";167;600.00;0.230;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
87;216;PROD_216;"Yakima DoubleDown Ace Hitch Mount 4-Bike Rack";"Yakima DoubleDown Ace Hitch Mount 4-Bike Rack";186;189.00;14.000;0.080;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
88;19;PROD_19;"Nike Men's Fingertrap Max Training Shoe";"Nike Men's Fingertrap Max Training Shoe";176;125.00;0.900;0.006;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
89;226;PROD_226;"Bowflex SelectTech 1090 Dumbbells";"Bowflex SelectTech 1090 Dumbbells";183;600.00;49.000;0.060;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:07";NULL;NULL
90;208;PROD_208;"SOLE E35 Elliptical";"SOLE E35 Elliptical";186;2000.00;80.000;0.500;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
91;793;PROD_793;"Hirzl Women's Hybrid Golf Glove";"Hirzl Women's Hybrid Golf Glove";185;15.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
92;792;PROD_792;"Hirzl Men's Hybrid Golf Glove";"Hirzl Men's Hybrid Golf Glove";185;15.00;0.100;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
93;786;PROD_786;"TaylorMade 2014 Purelite Stand Bag";"TaylorMade 2014 Purelite Stand Bag";200;180.00;2.200;0.030;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
94;778;PROD_778;"Bag Boy Beverage Holder";"Bag Boy Beverage Holder";200;25.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
95;777;PROD_777;"Bag Boy M330 Push Cart";"Bag Boy M330 Push Cart";200;80.00;7.000;0.040;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
96;775;PROD_775;"Clicgear 8.0 Shoe Brush";"Clicgear 8.0 Shoe Brush";200;10.00;0.200;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
97;773;PROD_773;"Titleist Small Wheeled Travel Cover";"Titleist Small Wheeled Travel Cover";200;250.00;5.000;0.050;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
98;771;PROD_771;"Clicgear Rovic Cooler Bag";"Clicgear Rovic Cooler Bag";200;40.00;1.500;0.010;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
99;768;PROD_768;"Titleist Club Glove Travel Cover";"Titleist Club Glove Travel Cover";200;300.00;5.000;0.050;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
100;743;PROD_743;"Ogio Race Golf Shoes";"Ogio Race Golf Shoes";201;170.00;0.900;0.006;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
101;730;PROD_730;"LIJA Women's Argyle Golf Polo";"LIJA Women's Argyle Golf Polo";202;80.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
102;728;PROD_728;"LIJA Women's Eyelet Sleeveless Golf Polo";"LIJA Women's Eyelet Sleeveless Golf Polo";202;65.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
103;725;PROD_725;"LIJA Women's Button Golf Dress";"LIJA Women's Button Golf Dress";202;108.00;0.400;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
104;724;PROD_724;"LIJA Women's Mid-Length Panel Golf Shorts";"LIJA Women's Mid-Length Panel Golf Shorts";202;100.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
105;715;PROD_715;"TaylorMade Women's RBZ SL Rescue";"TaylorMade Women's RBZ SL Rescue";203;130.00;0.350;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
106;705;PROD_705;"Cleveland Golf Women's 588 RTX CB Satin Chrom";"Cleveland Golf Women's 588 RTX CB Satin Chrom";203;120.00;0.450;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
107;703;PROD_703;"Top Flite Women's 2014 XL Hybrid";"Top Flite Women's 2014 XL Hybrid";203;20.00;0.400;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
108;691;PROD_691;"MDGolf Pittsburgh Penguins Putter";"MDGolf Pittsburgh Penguins Putter";204;80.00;0.500;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
109;677;PROD_677;"TaylorMade White Smoke IN-12 Putter";"TaylorMade White Smoke IN-12 Putter";204;100.00;0.500;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
110;671;PROD_671;"Cleveland Golf Collegiate My Custom Wedge 588";"Cleveland Golf Collegiate My Custom Wedge 588";204;210.00;0.450;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
111;666;PROD_666;"Merrell Men's All Out Flash Trail Running Sho";"Merrell Men's All Out Flash Trail Running Sho";205;110.00;0.750;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
112;652;PROD_652;"Merrell Women's Grassbow Sport Waterproof Hik";"Merrell Women's Grassbow Sport Waterproof Hik";205;130.00;0.800;0.006;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
113;647;PROD_647;"Merrell Women's Siren Mid Waterproof Hiking B";"Merrell Women's Siren Mid Waterproof Hiking B";205;135.00;0.850;0.006;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
114;646;PROD_646;"Merrell Women's Grassbow Sport Hiking Shoe";"Merrell Women's Grassbow Sport Hiking Shoe";205;100.00;0.800;0.006;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
115;1361;PROD_1361;Toys;Toys;206;12.00;1.000;0.010;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
116;1073;PROD_1073;"Pelican Sunstream 100 Kayak";"Pelican Sunstream 100 Kayak";207;200.00;20.000;0.350;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
117;1059;PROD_1059;"Pelican Maverick 100X Kayak";"Pelican Maverick 100X Kayak";207;350.00;21.000;0.360;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
118;1014;PROD_1014;"O'Brien Men's Neoprene Life Vest";"O'Brien Men's Neoprene Life Vest";208;50.00;1.200;0.015;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:31:08";NULL;NULL
119;NULL;NULL;"Smart watch1111111111";"Smart watch1111111111111";158;328.00;0.050;0.001;0;10;1;NULL;"2025-08-21 06:35:05";"2025-08-21 06:35:05";NULL;NULL
142;NULL;NULL;"Ti VI";;NULL;NULL;5.500;33600.000;1;0;1;NULL;"2025-09-11 09:05:51";"2025-09-11 09:05:51";1;
143;NULL;NULL;"Máy Lạnh";;NULL;NULL;30.000;68800.000;0;0;1;NULL;"2025-09-11 09:05:52";"2025-09-11 09:05:52";1;
144;NULL;NULL;"Ti VI";;NULL;NULL;5.500;33600.000;1;0;1;NULL;"2025-09-11 09:35:44";"2025-09-11 09:35:44";1;
145;NULL;NULL;"Máy Lạnh";;NULL;NULL;30.000;68800.000;0;0;1;NULL;"2025-09-11 09:35:44";"2025-09-11 09:35:44";1;
146;NULL;NULL;"Ti VIfffff";;NULL;NULL;4.000;52394.000;0;0;1;NULL;"2025-09-11 15:27:59";"2025-09-11 15:27:59";1;
147;NULL;NULL;"Máy Lanhssssss";;NULL;NULL;40.000;90160.000;0;0;1;NULL;"2025-09-11 15:27:59";"2025-09-11 15:27:59";1;
148;NULL;NULL;"Ti VIfffff";NULL;NULL;0.00;4.000;25806.000;0;0;1;NULL;"2025-09-11 15:34:03";"2025-09-11 15:34:03";1;NULL
149;NULL;NULL;"Máy Lanh";NULL;NULL;0.00;5.000;81872.000;1;0;1;NULL;"2025-09-11 15:34:04";"2025-09-11 15:34:04";1;NULL
150;NULL;NULL;"Ti VIfffff";NULL;NULL;0.00;4.000;32912.000;0;0;1;NULL;"2025-09-11 15:55:51";"2025-09-11 15:55:51";1;NULL
151;NULL;NULL;"Máy Lanh";NULL;NULL;0.00;34.000;39644.000;1;0;1;NULL;"2025-09-11 15:55:51";"2025-09-11 15:55:51";1;NULL
152;NULL;NULL;"Ti VI";NULL;NULL;0.00;3.000;15456.000;1;0;1;NULL;"2025-09-11 16:04:01";"2025-09-11 16:04:01";1;NULL
